latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.415951,3.251931,,Point,LA,eHA_Polio,All Saints Catholic Church Ibeshe,LASAON06,Church,6e7273a5-7ed8-4310-a396-27676a47f637
6.53292,3.34434,,Point,LA,OSGOF,Methodist Church Papa Ajao,LASMUN19,Church,6eb4b1a3-d939-47bf-b3d4-437599c9447d
6.49382,3.34535,,Point,LA,OSGOF,Christ Embassy Church Aguda,LASSUE13,Church,6ecf6794-f0b6-45c6-a17d-8126ecdd3481
6.44402,3.33998,,Point,LA,OSGOF,Baptist Church Alakoto,LASATO15,Church,6ee27830-1287-499d-bb9f-92e0ceb52cd0
6.6375,3.71173,,Point,LA,OSGOF,The Elim Evangelical Church Agbowa,LASEPE02,Church,6f076239-6bba-4a9f-bf33-50db2ea184d7
6.5242,3.29396,,Point,LA,OSGOF,The Builder's Throne Church Oshoru,LASOIO17,Church,6f5010d4-21ab-4676-9e2c-f366cf3699b6
6.41235,3.38293,,Point,LA,OSGOF,Cherubim And Seraphim Church Ebute Oko,LASAPA02,Church,6f6702d6-cece-4add-86d4-28baf31c0804
6.50067,3.38442,,Point,LA,OSGOF,Assemblies Of God Church Makoko,LASLMD12,Church,6fc905db-6311-445a-9cd9-95bf4ba09b0a
6.45045,3.40451,,Point,LA,OSGOF,Mountain Of Fire And Miracle Ministry Lafiaji,LASLID12,Church,7005b550-38d3-4954-a12e-625b1b132ac2
6.51437,3.34784,,Point,LA,OSGOF,Apostolic Church Assembly Lawanson,LASMUN05,Church,701977ef-122a-4ca3-bd8e-685b48049dae
6.6502,3.34634,,Point,LA,OSGOF,Cherubim And Seraphim Church Oke Ira,LASIKA10,Church,702137a7-5eaa-4c6b-a516-26749c9f3997
6.50022,3.38953,,Point,LA,OSGOF,Hossana Church Iwaya,LASLMD04,Church,7028f180-d373-4f93-a765-d2ca4ae48e6e
6.49341,3.37841,,Point,LA,OSGOF,The Apostolic Church Alagomeji,LASLMD03,Church,703548f7-9272-4a9b-9b45-09ff004a7704
6.46998,3.16807,,Point,LA,OSGOF,Goodness Believe Outreach Jakande New Site,LASOJO07,Church,703c26dd-0a6f-444d-baa8-b45f77f5bac2
6.53933,3.3679,,Point,LA,OSGOF,Redeemed Church Onipanu,LASSMU09,Church,70957fe6-6e4a-4009-8ca6-73886a7b6a5c
6.52785,3.32324,,Point,LA,OSGOF,Deeper Life Bible Church Ire Akari,LASOIO14,Church,70a16e4e-6f62-4758-9c3d-69b338da1b24
6.5394,3.30197,,Point,LA,OSGOF,Foursquare Gospel Church Ejigbo,LASOIO03,Church,715a0c2e-6975-4ecc-9e27-14b0abc9d612
6.51234,3.34224,,Point,LA,OSGOF,Celestial Church D Zone,LASMUN17,Church,7183c77a-6591-4773-8c0e-8d83f62dcb71
6.49794,3.32121,,Point,LA,OSGOF,Powerline Bible Church Amuwo Odofin,LASOIO18,Church,718b977b-eb1b-48f8-b1b2-8ef1e1c80588
6.62448,3.35344,,Point,LA,OSGOF,Wake Up To Jesus Global,LASIKA02,Church,7225ab34-7302-4224-86fb-14c7a01f6d72
6.45981,3.3526,,Point,LA,OSGOF,Spirit And Truth Church Alayabiagba,LASATO08,Church,7239bdee-8369-42f4-90e7-f1c2587cac4f
6.49264,3.31996,,Point,LA,OSGOF,The Lord's Chosen Charismatic Renewal Church Hq,LASAON04,Church,725c5698-3ac4-4ca2-ab64-dbc46301613b
6.54736,3.39017,,Point,LA,OSGOF,Redeemed Bethel Parish Gbagada Apelehin,LASSMU03,Church,725db271-0005-4f1b-bdad-5df83d8cf93b
6.59634,3.29279,,Point,LA,OSGOF,Destiny Sanctuary Egbeda,LASAMO19,Church,7274245d-36cc-4ca2-a8d7-9d52cf256c4e
6.45715,3.20693,,Point,LA,OSGOF,St Micheal's Anglican Church Ojo Town,LASOJO08,Church,7277820c-58c3-40d7-b38c-146d50204871
6.64218,3.32931,,Point,LA,OSGOF,African Church Cathedral Ifako,LASIOE05,Church,7285860e-1b94-4904-89dd-f9af662bc58a
6.60256,3.98546,,Point,LA,OSGOF,Christ Intervention Gospel Ministry Odomola,LASEPE11,Church,72ac90fc-4e31-4401-99fd-5e1e2e308134
6.41991,3.32928,,Point,LA,OSGOF,Rccg Small London Parish Igbologun,LASAON09,Church,72d4b862-dc62-4fac-b786-1c89af1f5516
6.55609,3.34266,,Point,LA,OSGOF,Redeemed Christian Church Of God Orile Oshodi,LASOIO01,Church,73422330-d3fa-4623-9d9d-b207b4a60943
6.48012,3.35311,,Point,LA,OSGOF,Redeemed Christian Church Of God Abebe,LASSUE11,Church,7342d051-6fce-4bf3-9372-f495ba3779e9
6.44756,3.40704,,Point,LA,OSGOF,Methodist Church Nigeria Araromi Odo,LASLID04,Church,7347856e-1d92-4fd4-bdcb-0ad41023ba6c
6.52523,3.32202,,Point,LA,OSGOF,Redeemed Christian Church Of God Ire Akari,LASOIO14,Church,73481143-ef30-4052-9e56-10caa270f00f
6.52303,3.33195,,Point,LA,OSGOF,Channel Of Truth Evanglican,LASOIO13,Church,735535d4-3332-4e3f-a899-c69ea8ed761c
6.49671,3.32656,,Point,LA,OSGOF,The Redeemed Church 1 Ijeshatedo,LASSUE02,Church,737c9bcf-9a85-4251-aa36-78e1e38bbc8e
6.47588,3.35133,,Point,LA,OSGOF,Christ Apostolic Church Sari Iganmu,LASAPA12,Church,739d0650-eb6c-4408-ad2e-3c57d495f3f9
6.48102,3.37509,,Point,LA,OSGOF,Cherubim And Seraphim Church Ebute Metta,LASLMD08,Church,73a95a73-7a7f-47b0-bb88-52d60e549a94
6.40814,3.38107,,Point,LA,OSGOF,St Luke African Bethel,LASAPA02,Church,73b1956b-9d5f-4512-a88a-8b43a7e7dff0
6.52112,3.34875,,Point,LA,OSGOF,Deeper Life Bible Church Idi Araba,LASMUN11,Church,73c7725b-fe31-40ab-86f8-799a7b022bc9
6.5744,3.34398,,Point,LA,OSGOF,The Apostolic Church Shogunle,LASOIO20,Church,73d444ad-dfe2-4616-8604-b3600def265c
6.61435,3.34783,,Point,LA,OSGOF,Redeemed Christian Church Of God Adekunle,LASIKA07,Church,73dba8cb-9648-4460-8443-6f9038f39a5b
6.46311,3.33514,,Point,LA,OSGOF,St John Church Abule Kere,LASATO03,Church,73e41ada-e5ec-4c2d-b27a-1a47e809f3de
6.51409,3.32941,,Point,LA,OSGOF,Holy Saviour Church Of Christ Ilasamaja,LASOIO13,Church,74079696-4543-461f-b384-4dc3a5ba9ffe
6.6615,3.31142,,Point,LA,OSGOF,Redeemed Christian Church Of God New Oko Oba,LASIOE14,Church,7422a743-9c4f-4e79-8f3a-2d54a4c60f4b
6.53147,3.31596,,Point,LA,OSGOF,Winners Gospel Church Ailegun,LASOIO12,Church,748e28c4-d04c-4410-a68e-8355f20799bd
6.52338,3.33252,,Point,LA,OSGOF,Merciful Church Of Christ Ilasamaja,LASOIO13,Church,74f955be-409b-4c9f-8dd7-96b76230df82
6.55276,3.39727,,Point,LA,OSGOF,Redeemed Christian Church Of God Oworonsoki,LASKSE17,Church,750c0caa-9f7a-46ed-b120-e53a42717401
6.50691,3.34342,,Point,LA,OSGOF,Celestial Church Of Christ 2 Ikate,LASSUE08,Church,75e4f4d1-19d0-479a-9b8d-e28cf7964fa1
6.64309,3.36158,,Point,LA,OSGOF,Celestial Church Of God Ojodu Kudoro,LASIKA08,Church,75fa4b2a-89de-443c-80a7-c90543ee9b89
6.63218,3.35399,,Point,LA,OSGOF,City Of Life Church Agidingbi,LASIKA02,Church,764492b2-9fcd-4dfe-b292-2cf548b60e54
6.46353,3.3331,,Point,LA,OSGOF,Kingdom Hall Of Jehovah Witness Alaba,LASATO06,Church,76d3e50f-041e-4e54-a4e1-b7689ed64ffb
6.48917,3.34738,,Point,LA,OSGOF,St Peter's Church Aguda,LASSUE22,Church,76fc8470-c14d-4d10-8a5c-8c5e154fbff6
6.44139,3.88538,,Point,LA,OSGOF,Kingdom Hall Of Jehovah's Witness Ilado,LASIUI09,Church,773d4f5a-c2fb-40cf-8f80-1eaae72470e0
6.54749,3.29558,,Point,LA,OSGOF,Holiness Assembly Church Agbaka,LASOIO10,Church,7745c2ea-ed0a-4b88-ad35-94770acdb1bd
6.45215,3.3917,,Point,LA,OSGOF,Redeemed Chuch God Church Popo Aguda,LASLID19,Church,775982e7-378d-48ec-9afc-c79849c48673
6.47208,3.56589,,Point,LA,OSGOF,Mountain Of Fire Church Ajah Thomas,LASEOA03,Church,779b0c02-32fe-4da5-be92-eb9efa2eeca0
6.54768,3.30435,,Point,LA,OSGOF,Gospel Apostolic Church Ejigbo,LASOIO09,Church,77acd892-2c3e-480a-8bcf-2634c27a6baf
6.45151,3.39276,,Point,LA,OSGOF,Bishop Tugwell Memorial Church Popo Aguda,LASLID01,Church,77c9eb17-67a8-4bf1-97ff-de0665aec7e9
6.53785,3.36397,,Point,LA,OSGOF,Divine Appointment Mission Onipanu,LASMUN18,Church,78308a84-37bc-4c37-bd91-e0a876dd0039
6.52409,3.39097,,Point,LA,OSGOF,Deeper Life Bible Church Akoka,LASSMU02,Church,7847053a-26ed-4c92-a0ae-7a82441dd0a5
6.49597,3.71829,,Point,LA,OSGOF,Ecwa Church Dongo,LASEPE12,Church,78671856-417b-4d90-a23e-4ecc301cda81
6.57784,3.37053,,Point,LA,OSGOF,Celestial Church Of Christ Wasimi Parish Wasimi,LASIKA18,Church,7890a5e3-b0de-49b4-9ae3-1beb9580ae9d
6.52633,3.30281,,Point,LA,OSGOF,Redeemed Christian Church Of God Oke Afa,LASOIO17,Church,7894b6bb-6b47-4c24-957d-360dd64d254d
6.5711,3.34419,,Point,LA,OSGOF,Christ Apostolic Church Ladipo,LASOIO08,Church,789a826e-5646-4248-b45f-c0cccfecb1cb
6.45798,3.34772,,Point,LA,OSGOF,Redeemed Christian Church Of God Aiyetoro,LASATO01,Church,789d6365-6fe7-46ca-b3fe-c0aa1d335f79
6.45534,3.33883,,Point,LA,OSGOF,Baptist Church Onibaba,LASATO02,Church,78ba7d3c-2003-4ee0-a92c-02ddca27691e
6.50447,3.32532,,Point,LA,OSGOF,Christ Ambassador Parish Ijeshatedo,LASMUN13,Church,7916c27b-273f-45e4-8883-0f6bb243e557
6.52585,3.38757,,Point,LA,OSGOF,Christ Apostolic Church Akoka,LASSMU02,Church,792aa65b-17a3-444c-9389-41100574be7d
6.53399,3.36427,,Point,LA,OSGOF,World Crusader,LASMUN10,Church,792bdce4-f7aa-439a-ad19-5a88791af624
6.50185,3.38898,,Point,LA,OSGOF,The Christ Peoples Church Iwaya,LASLMD04,Church,794fb3f6-85d1-45ae-962c-fcaabd548835
6.5625,3.33675,,Point,LA,OSGOF,Mountain Of Fire And Mirracle,LASOIO16,Church,796865e7-f385-444a-8315-02975307259a
6.46983,3.29281,,Point,LA,OSGOF,Diocese Of Lagos Church Of The Pentecost,LASAON07,Church,798b7756-e3e8-417a-b249-36ff9b6da54e
6.49323,3.12391,,Point,LA,OSGOF,Foursquare Gospel Church Ijanikin,LASOJO06,Church,7aaf6d9e-ac36-4b54-a8a5-56444a94d01d
6.45387,3.32523,,Point,LA,OSGOF,Church Of Christ Awodi Ora,LASATO07,Church,7ac751dc-c493-4d42-88f0-17106f70340d
